match_id,table_tier,wager_amount,break_type,outcome,net_coins_change,running_bankroll
MTH-0136,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,39550
MTH-0137,Sydney Marina,250,Dry Break (No Pot),Loss,-250,39300
MTH-0138,Tokyo Warrior,2500,Second-Ball Break,Win,2500,41800
MTH-0139,London Pub,50,Soft Break,Loss,-50,41750
MTH-0140,Moscow Winter,500,Soft Break,Loss,-500,41250
MTH-0141,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,31250
MTH-0142,Sydney Marina,250,Power Break,Win,250,31500
MTH-0143,Las Vegas,10000,Second-Ball Break,Win,10000,41500
MTH-0144,London Pub,50,Second-Ball Break,Win,50,41550
MTH-0145,Moscow Winter,500,Power Break,Loss,-500,41050
MTH-0146,Las Vegas,10000,Power Break,Win,10000,51050
MTH-0147,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,41050
MTH-0148,Sydney Marina,250,Power Break,Loss,-250,40800
MTH-0149,Sydney Marina,250,Soft Break,Win,250,41050
MTH-0150,Moscow Winter,500,Second-Ball Break,Win,500,41550
MTH-0151,Sydney Marina,250,Power Break,Loss,-250,41300
MTH-0152,Las Vegas,10000,Second-Ball Break,Win,10000,51300
MTH-0153,Las Vegas,10000,Soft Break,Loss,-10000,41300
MTH-0154,London Pub,50,Second-Ball Break,Win,50,41350
MTH-0155,Las Vegas,10000,Soft Break,Win,10000,51350
MTH-0156,Moscow Winter,500,Second-Ball Break,Win,500,51850
MTH-0157,Tokyo Warrior,2500,Power Break,Loss,-2500,49350
MTH-0158,London Pub,50,Dry Break (No Pot),Loss,-50,49300
MTH-0159,London Pub,50,Second-Ball Break,Win,50,49350
MTH-0160,Moscow Winter,500,Power Break,Win,500,49850
MTH-0161,Moscow Winter,500,Second-Ball Break,Loss,-500,49350
MTH-0162,Sydney Marina,250,Second-Ball Break,Win,250,49600
MTH-0163,London Pub,50,Dry Break (No Pot),Loss,-50,49550
MTH-0164,Sydney Marina,250,Second-Ball Break,Win,250,49800
MTH-0165,Las Vegas,10000,Second-Ball Break,Win,10000,59800
MTH-0166,London Pub,50,Power Break,Loss,-50,59750
MTH-0167,London Pub,50,Power Break,Win,50,59800
MTH-0168,Tokyo Warrior,2500,Power Break,Win,2500,62300
MTH-0169,London Pub,50,Dry Break (No Pot),Loss,-50,62250
MTH-0170,Las Vegas,10000,Second-Ball Break,Win,10000,72250
MTH-0171,Sydney Marina,250,Second-Ball Break,Win,250,72500
MTH-0172,Sydney Marina,250,Power Break,Win,250,72750
MTH-0173,Tokyo Warrior,2500,Power Break,Loss,-2500,70250
MTH-0174,Las Vegas,10000,Second-Ball Break,Win,10000,80250
MTH-0175,Sydney Marina,250,Power Break,Loss,-250,80000
MTH-0176,Moscow Winter,500,Second-Ball Break,Loss,-500,79500
MTH-0177,Las Vegas,10000,Second-Ball Break,Win,10000,89500
MTH-0178,Las Vegas,10000,Power Break,Loss,-10000,79500
MTH-0179,Tokyo Warrior,2500,Power Break,Loss,-2500,77000
MTH-0180,Sydney Marina,250,Dry Break (No Pot),Loss,-250,76750
MTH-0181,Las Vegas,10000,Power Break,Loss,-10000,66750
MTH-0182,Sydney Marina,250,Second-Ball Break,Win,250,67000
MTH-0183,Moscow Winter,500,Dry Break (No Pot),Loss,-500,66500
MTH-0184,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,64000
MTH-0185,Moscow Winter,500,Power Break,Win,500,64500
MTH-0186,Tokyo Warrior,2500,Power Break,Win,2500,67000
MTH-0187,Las Vegas,10000,Power Break,Loss,-10000,57000
MTH-0188,Tokyo Warrior,2500,Power Break,Win,2500,59500
MTH-0189,London Pub,50,Dry Break (No Pot),Win,50,59550
MTH-0190,Sydney Marina,250,Dry Break (No Pot),Win,250,59800
MTH-0191,Sydney Marina,250,Power Break,Loss,-250,59550
MTH-0192,London Pub,50,Second-Ball Break,Loss,-50,59500
MTH-0193,Moscow Winter,500,Soft Break,Loss,-500,59000
MTH-0194,London Pub,50,Power Break,Win,50,59050
MTH-0195,Las Vegas,10000,Soft Break,Loss,-10000,49050
MTH-0196,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,39050
MTH-0197,Sydney Marina,250,Power Break,Loss,-250,38800
MTH-0198,Las Vegas,10000,Power Break,Loss,-10000,28800
MTH-0199,Sydney Marina,250,Dry Break (No Pot),Loss,-250,28550
MTH-0200,London Pub,50,Soft Break,Loss,-50,28500
MTH-0201,London Pub,50,Power Break,Loss,-50,28450
MTH-0202,London Pub,50,Second-Ball Break,Loss,-50,28400
MTH-0203,Sydney Marina,250,Power Break,Loss,-250,28150
MTH-0204,London Pub,50,Power Break,Win,50,28200
MTH-0205,London Pub,50,Dry Break (No Pot),Win,50,28250
MTH-0206,Moscow Winter,500,Power Break,Loss,-500,27750
MTH-0207,London Pub,50,Dry Break (No Pot),Loss,-50,27700
MTH-0208,Las Vegas,10000,Second-Ball Break,Win,10000,37700
MTH-0209,Sydney Marina,250,Power Break,Win,250,37950
MTH-0210,Moscow Winter,500,Second-Ball Break,Loss,-500,37450
MTH-0211,Tokyo Warrior,2500,Soft Break,Loss,-2500,34950
MTH-0212,Sydney Marina,250,Power Break,Win,250,35200
MTH-0213,Las Vegas,10000,Power Break,Loss,-10000,25200
MTH-0214,Sydney Marina,250,Second-Ball Break,Loss,-250,24950
MTH-0215,Las Vegas,10000,Power Break,Win,10000,34950
MTH-0216,Las Vegas,10000,Power Break,Loss,-10000,24950
MTH-0217,Tokyo Warrior,2500,Second-Ball Break,Win,2500,27450
MTH-0218,Sydney Marina,250,Power Break,Loss,-250,27200
MTH-0219,Tokyo Warrior,2500,Power Break,Loss,-2500,24700
MTH-0220,Tokyo Warrior,2500,Soft Break,Win,2500,27200
MTH-0221,Sydney Marina,250,Power Break,Loss,-250,26950
MTH-0222,London Pub,50,Power Break,Win,50,27000
MTH-0223,London Pub,50,Dry Break (No Pot),Loss,-50,26950
MTH-0224,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,24450
MTH-0225,Moscow Winter,500,Power Break,Win,500,24950
MTH-0226,Tokyo Warrior,2500,Soft Break,Loss,-2500,22450
MTH-0227,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,19950
MTH-0228,Tokyo Warrior,2500,Power Break,Win,2500,22450
MTH-0229,London Pub,50,Power Break,Win,50,22500
MTH-0230,London Pub,50,Power Break,Win,50,22550
MTH-0231,London Pub,50,Power Break,Loss,-50,22500
MTH-0232,Tokyo Warrior,2500,Soft Break,Loss,-2500,20000
MTH-0233,Moscow Winter,500,Dry Break (No Pot),Loss,-500,19500
MTH-0234,London Pub,50,Power Break,Loss,-50,19450
MTH-0235,Sydney Marina,250,Power Break,Loss,-250,19200
MTH-0236,Sydney Marina,250,Power Break,Loss,-250,18950
MTH-0237,Sydney Marina,250,Power Break,Loss,-250,18700
MTH-0238,Las Vegas,10000,Second-Ball Break,Loss,-10000,8700
MTH-0239,Tokyo Warrior,2500,Power Break,Loss,-2500,6200
MTH-0240,Sydney Marina,250,Dry Break (No Pot),Loss,-250,5950
MTH-0241,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,3450
MTH-0242,Sydney Marina,250,Second-Ball Break,Win,250,3700
MTH-0243,Moscow Winter,500,Second-Ball Break,Loss,-500,3200
MTH-0244,Tokyo Warrior,2500,Power Break,Win,2500,5700
MTH-0245,Sydney Marina,250,Dry Break (No Pot),Loss,-250,5450
MTH-0246,London Pub,50,Second-Ball Break,Win,50,5500
MTH-0247,Tokyo Warrior,2500,Power Break,Win,2500,8000
MTH-0248,Las Vegas,10000,Second-Ball Break,Win,10000,18000
MTH-0249,London Pub,50,Second-Ball Break,Win,50,18050
MTH-0250,London Pub,50,Dry Break (No Pot),Loss,-50,18000
MTH-0251,Las Vegas,10000,Second-Ball Break,Win,10000,28000
MTH-0252,London Pub,50,Power Break,Loss,-50,27950
MTH-0253,London Pub,50,Second-Ball Break,Win,50,28000
MTH-0254,Sydney Marina,250,Dry Break (No Pot),Loss,-250,27750
MTH-0255,Sydney Marina,250,Dry Break (No Pot),Loss,-250,27500
MTH-0256,Tokyo Warrior,2500,Second-Ball Break,Win,2500,30000
MTH-0257,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,27500
MTH-0258,Tokyo Warrior,2500,Power Break,Win,2500,30000
MTH-0259,Sydney Marina,250,Power Break,Loss,-250,29750
MTH-0260,Tokyo Warrior,2500,Dry Break (No Pot),Win,2500,32250
MTH-0261,London Pub,50,Second-Ball Break,Win,50,32300
MTH-0262,Sydney Marina,250,Dry Break (No Pot),Loss,-250,32050
MTH-0263,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,29550
MTH-0264,London Pub,50,Second-Ball Break,Win,50,29600
MTH-0265,Tokyo Warrior,2500,Power Break,Loss,-2500,27100
MTH-0266,Moscow Winter,500,Dry Break (No Pot),Loss,-500,26600
MTH-0267,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,24100
MTH-0268,Moscow Winter,500,Soft Break,Loss,-500,23600
MTH-0269,Tokyo Warrior,2500,Dry Break (No Pot),Win,2500,26100
MTH-0270,Las Vegas,10000,Second-Ball Break,Win,10000,36100
MTH-0271,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,33600
MTH-0272,Sydney Marina,250,Power Break,Loss,-250,33350
MTH-0273,Sydney Marina,250,Second-Ball Break,Win,250,33600
MTH-0274,Moscow Winter,500,Power Break,Loss,-500,33100
MTH-0275,Sydney Marina,250,Second-Ball Break,Loss,-250,32850
MTH-0276,London Pub,50,Second-Ball Break,Loss,-50,32800
MTH-0277,Las Vegas,10000,Second-Ball Break,Win,10000,42800
MTH-0278,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,32800
MTH-0279,London Pub,50,Power Break,Win,50,32850
MTH-0280,Moscow Winter,500,Soft Break,Loss,-500,32350
MTH-0281,London Pub,50,Soft Break,Win,50,32400
MTH-0282,London Pub,50,Power Break,Win,50,32450
MTH-0283,Las Vegas,10000,Power Break,Loss,-10000,22450
MTH-0284,Tokyo Warrior,2500,Power Break,Win,2500,24950
MTH-0285,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,14950
MTH-0286,Las Vegas,10000,Second-Ball Break,Loss,-10000,4950
MTH-0287,Sydney Marina,250,Power Break,Loss,-250,4700
MTH-0288,London Pub,50,Dry Break (No Pot),Loss,-50,4650
MTH-0289,Las Vegas,10000,Power Break,Loss,-10000,-5350
MTH-0290,London Pub,50,Second-Ball Break,Win,50,-5300
MTH-0291,Sydney Marina,250,Second-Ball Break,Loss,-250,-5550
MTH-0292,London Pub,50,Second-Ball Break,Win,50,-5500
MTH-0293,Las Vegas,10000,Second-Ball Break,Win,10000,4500
MTH-0294,London Pub,50,Power Break,Win,50,4550
MTH-0295,Sydney Marina,250,Power Break,Win,250,4800
MTH-0296,Tokyo Warrior,2500,Power Break,Loss,-2500,2300
MTH-0297,London Pub,50,Power Break,Win,50,2350
MTH-0298,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,-7650
MTH-0299,Sydney Marina,250,Second-Ball Break,Win,250,-7400
MTH-0300,Las Vegas,10000,Power Break,Win,10000,2600
MTH-0301,Las Vegas,10000,Power Break,Win,10000,12600
MTH-0302,London Pub,50,Power Break,Win,50,12650
MTH-0303,Las Vegas,10000,Power Break,Win,10000,22650
MTH-0304,London Pub,50,Power Break,Win,50,22700
MTH-0305,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,20200
MTH-0306,Las Vegas,10000,Power Break,Loss,-10000,10200
MTH-0307,Las Vegas,10000,Second-Ball Break,Win,10000,20200
MTH-0308,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,10200
MTH-0309,Moscow Winter,500,Power Break,Win,500,10700
MTH-0310,Moscow Winter,500,Dry Break (No Pot),Loss,-500,10200
MTH-0311,Sydney Marina,250,Power Break,Win,250,10450
MTH-0312,Moscow Winter,500,Power Break,Win,500,10950
MTH-0313,Sydney Marina,250,Second-Ball Break,Win,250,11200
MTH-0314,Moscow Winter,500,Second-Ball Break,Loss,-500,10700
MTH-0315,Tokyo Warrior,2500,Power Break,Win,2500,13200
MTH-0316,Sydney Marina,250,Soft Break,Loss,-250,12950
MTH-0317,Moscow Winter,500,Second-Ball Break,Win,500,13450
MTH-0318,Tokyo Warrior,2500,Power Break,Win,2500,15950
MTH-0319,Moscow Winter,500,Second-Ball Break,Win,500,16450
MTH-0320,London Pub,50,Power Break,Win,50,16500
MTH-0321,London Pub,50,Power Break,Win,50,16550
MTH-0322,Tokyo Warrior,2500,Power Break,Win,2500,19050
MTH-0323,Las Vegas,10000,Power Break,Loss,-10000,9050
MTH-0324,Las Vegas,10000,Second-Ball Break,Loss,-10000,-950
MTH-0325,London Pub,50,Soft Break,Loss,-50,-1000
MTH-0326,London Pub,50,Power Break,Loss,-50,-1050
MTH-0327,Las Vegas,10000,Second-Ball Break,Loss,-10000,-11050
MTH-0328,Sydney Marina,250,Second-Ball Break,Win,250,-10800
MTH-0329,Las Vegas,10000,Power Break,Win,10000,-800
MTH-0330,Moscow Winter,500,Second-Ball Break,Win,500,-300
MTH-0331,Sydney Marina,250,Power Break,Loss,-250,-550
MTH-0332,Moscow Winter,500,Second-Ball Break,Win,500,-50
MTH-0333,London Pub,50,Power Break,Win,50,0
MTH-0334,Sydney Marina,250,Power Break,Win,250,250
MTH-0335,Moscow Winter,500,Power Break,Win,500,750
MTH-0336,Moscow Winter,500,Power Break,Loss,-500,250
MTH-0337,Sydney Marina,250,Power Break,Loss,-250,0
MTH-0338,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,-2500
MTH-0339,Las Vegas,10000,Power Break,Win,10000,7500
MTH-0340,Moscow Winter,500,Dry Break (No Pot),Loss,-500,7000
MTH-0341,Las Vegas,10000,Dry Break (No Pot),Win,10000,17000
MTH-0342,Las Vegas,10000,Power Break,Loss,-10000,7000
MTH-0343,London Pub,50,Dry Break (No Pot),Loss,-50,6950
MTH-0344,Las Vegas,10000,Second-Ball Break,Win,10000,16950
MTH-0345,Moscow Winter,500,Soft Break,Win,500,17450
MTH-0346,London Pub,50,Power Break,Win,50,17500
MTH-0347,Sydney Marina,250,Second-Ball Break,Win,250,17750
MTH-0348,Moscow Winter,500,Power Break,Loss,-500,17250
MTH-0349,London Pub,50,Power Break,Loss,-50,17200
MTH-0350,London Pub,50,Power Break,Win,50,17250
MTH-0351,Las Vegas,10000,Second-Ball Break,Win,10000,27250
MTH-0352,Sydney Marina,250,Power Break,Win,250,27500
MTH-0353,Moscow Winter,500,Power Break,Loss,-500,27000
MTH-0354,Moscow Winter,500,Power Break,Loss,-500,26500
MTH-0355,Las Vegas,10000,Power Break,Loss,-10000,16500
MTH-0356,Sydney Marina,250,Soft Break,Loss,-250,16250
MTH-0357,Moscow Winter,500,Second-Ball Break,Win,500,16750
MTH-0358,Sydney Marina,250,Power Break,Loss,-250,16500
MTH-0359,Moscow Winter,500,Dry Break (No Pot),Loss,-500,16000
MTH-0360,Las Vegas,10000,Power Break,Loss,-10000,6000
MTH-0361,Tokyo Warrior,2500,Dry Break (No Pot),Win,2500,8500
MTH-0362,Moscow Winter,500,Power Break,Loss,-500,8000
MTH-0363,London Pub,50,Second-Ball Break,Loss,-50,7950
MTH-0364,London Pub,50,Power Break,Loss,-50,7900
MTH-0365,Tokyo Warrior,2500,Power Break,Win,2500,10400
MTH-0366,Moscow Winter,500,Power Break,Loss,-500,9900
MTH-0367,London Pub,50,Second-Ball Break,Win,50,9950
MTH-0368,London Pub,50,Power Break,Loss,-50,9900
MTH-0369,Moscow Winter,500,Power Break,Loss,-500,9400
MTH-0370,Sydney Marina,250,Second-Ball Break,Win,250,9650
MTH-0371,Moscow Winter,500,Second-Ball Break,Win,500,10150
MTH-0372,Sydney Marina,250,Soft Break,Loss,-250,9900
MTH-0373,Tokyo Warrior,2500,Power Break,Loss,-2500,7400
MTH-0374,Las Vegas,10000,Power Break,Loss,-10000,-2600
MTH-0375,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,-5100
MTH-0376,Las Vegas,10000,Power Break,Loss,-10000,-15100
MTH-0377,London Pub,50,Second-Ball Break,Win,50,-15050
MTH-0378,London Pub,50,Power Break,Loss,-50,-15100
MTH-0379,London Pub,50,Second-Ball Break,Win,50,-15050
MTH-0380,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-15300
MTH-0381,Las Vegas,10000,Power Break,Win,10000,-5300
MTH-0382,London Pub,50,Power Break,Loss,-50,-5350
MTH-0383,Moscow Winter,500,Power Break,Loss,-500,-5850
MTH-0384,Las Vegas,10000,Soft Break,Loss,-10000,-15850
MTH-0385,Las Vegas,10000,Power Break,Loss,-10000,-25850
MTH-0386,Sydney Marina,250,Power Break,Loss,-250,-26100
MTH-0387,Tokyo Warrior,2500,Power Break,Win,2500,-23600
MTH-0388,Sydney Marina,250,Soft Break,Win,250,-23350
MTH-0389,London Pub,50,Power Break,Loss,-50,-23400
MTH-0390,Moscow Winter,500,Soft Break,Loss,-500,-23900
MTH-0391,Moscow Winter,500,Second-Ball Break,Win,500,-23400
MTH-0392,London Pub,50,Power Break,Win,50,-23350
MTH-0393,Moscow Winter,500,Power Break,Loss,-500,-23850
MTH-0394,Sydney Marina,250,Second-Ball Break,Win,250,-23600
MTH-0395,Sydney Marina,250,Second-Ball Break,Loss,-250,-23850
MTH-0396,London Pub,50,Power Break,Loss,-50,-23900
MTH-0397,Moscow Winter,500,Second-Ball Break,Win,500,-23400
MTH-0398,Las Vegas,10000,Power Break,Loss,-10000,-33400
MTH-0399,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,-35900
MTH-0400,Las Vegas,10000,Second-Ball Break,Loss,-10000,-45900
MTH-0401,Sydney Marina,250,Soft Break,Win,250,-45650
MTH-0402,Sydney Marina,250,Second-Ball Break,Win,250,-45400
MTH-0403,Sydney Marina,250,Second-Ball Break,Loss,-250,-45650
MTH-0404,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-45900
MTH-0405,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-43400
MTH-0406,London Pub,50,Dry Break (No Pot),Loss,-50,-43450
MTH-0407,Sydney Marina,250,Power Break,Loss,-250,-43700
MTH-0408,Moscow Winter,500,Dry Break (No Pot),Loss,-500,-44200
MTH-0409,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-41700
MTH-0410,Sydney Marina,250,Power Break,Win,250,-41450
MTH-0411,Moscow Winter,500,Dry Break (No Pot),Win,500,-40950
MTH-0412,Sydney Marina,250,Power Break,Win,250,-40700
